image_path,split,filename,timestamp,clarity_score,turbidity_score,unscoreable_reason,dcp_raw,tenengrad_raw,blue_dom_raw,uicm_raw,dcp_score,tenengrad_score,blue_dom_score,uicm_score,image_w,image_h
data\train\images\20210207-170030_DCS_7010L-SN8304.jpg,train,20210207-170030_DCS_7010L-SN8304.jpg,20210207-170030,67.02,32.98,,1.743,1489.286,3.2626,0.00397,0.0,76.61,0.0,100.0,1280,800
data\train\images\2023-10-16_Mero_Morena_frame159.jpg,train,2023-10-16_Mero_Morena_frame159.jpg,,65.76,34.24,,33.321,6255.947,1.2103,0.02068,61.26,0.0,45.1,7.16,2560,1440
data\train\images\2023-10-16_Mero_Morena_frame173.jpg,train,2023-10-16_Mero_Morena_frame173.jpg,,67.7,32.3,,32.208,6148.841,1.2158,0.02116,57.49,0.0,44.37,4.34,2560,1440
data\train\images\2023-10-16_Mero_Morena_frame174.jpg,train,2023-10-16_Mero_Morena_frame174.jpg,,65.75,34.25,,32.774,5773.846,1.2305,0.02105,59.41,5.0,42.42,4.98,2560,1440
data\train\images\2023-10-16_Mero_Morena_frame184.jpg,train,2023-10-16_Mero_Morena_frame184.jpg,,66.48,33.52,,32.287,6411.031,1.1729,0.02121,57.76,0.0,50.05,4.06,2560,1440
data\train\images\2023-10-16_Mero_Morena_frame185.jpg,train,2023-10-16_Mero_Morena_frame185.jpg,,67.28,32.72,,31.891,6802.721,1.1789,0.02139,56.42,0.0,49.26,2.98,2560,1440
data\train\images\2023-10-16_Mero_Morena_frame186.jpg,train,2023-10-16_Mero_Morena_frame186.jpg,,67.54,32.46,,31.864,7005.135,1.185,0.02149,56.33,0.0,48.46,2.4,2560,1440
data\train\images\2023-10-16_Mero_Morena_frame187.jpg,train,2023-10-16_Mero_Morena_frame187.jpg,,68.12,31.88,,31.661,7086.922,1.1922,0.02168,55.64,0.0,47.49,1.29,2560,1440
data\train\images\2023-10-16_Mero_Morena_frame190.jpg,train,2023-10-16_Mero_Morena_frame190.jpg,,66.65,33.35,,32.837,6783.112,1.2133,0.02094,59.62,0.0,44.71,5.63,2560,1440
data\train\images\2023-10-16_Mero_frame1.jpg,train,2023-10-16_Mero_frame1.jpg,,25.83,74.17,,41.899,639.758,1.3009,0.01483,90.35,90.81,33.12,41.6,2560,1440
data\train\images\2023-10-16_Mero_frame13.jpg,train,2023-10-16_Mero_frame13.jpg,,26.84,73.16,,41.997,835.331,1.303,0.01499,90.68,87.54,32.83,40.64,2560,1440
data\train\images\2023-10-16_Mero_frame14.jpg,train,2023-10-16_Mero_frame14.jpg,,26.83,73.17,,42.083,845.172,1.304,0.01505,90.97,87.37,32.71,40.28,2560,1440
data\train\images\2023-10-16_Mero_frame3.jpg,train,2023-10-16_Mero_frame3.jpg,,25.65,74.35,,42.072,745.201,1.2893,0.01454,90.94,89.04,34.65,43.3,2560,1440
data\train\images\2023-10-16_Mero_frame6.jpg,train,2023-10-16_Mero_frame6.jpg,,26.23,73.77,,41.97,773.207,1.3005,0.01455,90.59,88.58,33.17,43.26,2560,1440
data\train\images\2023-10-16_Mero_frame7.jpg,train,2023-10-16_Mero_frame7.jpg,,25.82,74.18,,42.367,789.88,1.3012,0.01459,91.94,88.3,33.08,43.0,2560,1440
data\train\images\2023-10-16_Mero_frame8.jpg,train,2023-10-16_Mero_frame8.jpg,,26.49,73.51,,42.244,851.025,1.3051,0.01474,91.52,87.28,32.56,42.1,2560,1440
data\train\images\2023-10-16_Mero_frame9.jpg,train,2023-10-16_Mero_frame9.jpg,,26.95,73.05,,42.127,900.416,1.3059,0.01479,91.12,86.45,32.45,41.81,2560,1440
data\train\images\2023-10-16_Morena_frame18.jpg,train,2023-10-16_Morena_frame18.jpg,,62.93,37.07,,33.789,5553.034,1.2271,0.02064,62.85,8.69,42.88,7.43,2560,1440
data\train\images\2023-10-16_Morena_frame19.jpg,train,2023-10-16_Morena_frame19.jpg,,66.04,33.96,,32.962,5964.169,1.2169,0.02097,60.05,1.82,44.22,5.47,2560,1440
data\train\images\2023-10-16_Morena_frame21.jpg,train,2023-10-16_Morena_frame21.jpg,,65.53,34.47,,32.836,5839.393,1.2199,0.02073,59.62,3.9,43.84,6.88,2560,1440
data\train\images\2023-10-16_Morena_frame23.jpg,train,2023-10-16_Morena_frame23.jpg,,64.92,35.08,,33.018,5696.155,1.2304,0.02087,60.24,6.3,42.45,6.08,2560,1440
data\train\images\2023-10-16_Morena_frame24.jpg,train,2023-10-16_Morena_frame24.jpg,,65.34,34.66,,32.576,5681.99,1.2265,0.02085,58.74,6.53,42.95,6.2,2560,1440
data\train\images\2023-10-16_Morena_frame25.jpg,train,2023-10-16_Morena_frame25.jpg,,65.82,34.18,,32.869,5889.922,1.2144,0.02111,59.73,3.06,44.55,4.64,2560,1440
data\train\images\2023-10-16_Morena_frame27.jpg,train,2023-10-16_Morena_frame27.jpg,,65.49,34.51,,32.515,5684.387,1.2324,0.02068,58.53,6.49,42.17,7.18,2560,1440
data\train\images\2023-10-16_Morena_frame29.jpg,train,2023-10-16_Morena_frame29.jpg,,59.8,40.2,,34.434,5299.063,1.1987,0.02023,65.04,12.93,46.63,9.81,2560,1440
data\train\images\2023-10-16_Morena_frame31.jpg,train,2023-10-16_Morena_frame31.jpg,,65.46,34.54,,32.93,6437.122,1.1704,0.02108,59.94,0.0,50.38,4.84,2560,1440
data\train\images\2023-10-16_Morena_frame35.jpg,train,2023-10-16_Morena_frame35.jpg,,67.81,32.19,,31.716,7043.931,1.1866,0.02154,55.82,0.0,48.24,2.12,2560,1440
data\train\images\2023-10-16_Morena_frame36.jpg,train,2023-10-16_Morena_frame36.jpg,,68.42,31.58,,31.484,7154.693,1.1935,0.02173,55.04,0.0,47.33,1.02,2560,1440
data\train\images\2023-10-16_Morena_frame37.jpg,train,2023-10-16_Morena_frame37.jpg,,68.54,31.46,,31.602,7088.137,1.2012,0.02187,55.44,0.0,46.3,0.2,2560,1440
data\train\images\2023-10-16_Morena_frame38.jpg,train,2023-10-16_Morena_frame38.jpg,,67.28,32.72,,32.424,6933.304,1.2076,0.02132,58.22,0.0,45.46,3.42,2560,1440
data\train\images\2023-10-16_Morena_frame39.jpg,train,2023-10-16_Morena_frame39.jpg,,66.99,33.01,,32.749,6466.342,1.2283,0.02065,59.33,0.0,42.72,7.34,2560,1440
data\train\images\2023-10-16_Morena_frame40.jpg,train,2023-10-16_Morena_frame40.jpg,,62.88,37.12,,34.021,5407.584,1.2976,0.01916,63.64,11.12,33.56,16.11,2560,1440
data\train\images\2023-10-16_Morena_frame42.jpg,train,2023-10-16_Morena_frame42.jpg,,67.8,32.2,,32.018,6753.397,1.2001,0.02161,56.85,0.0,46.45,1.69,2560,1440
data\train\images\20230317-230000-C4k0193.jpg,train,20230317-230000-C4k0193.jpg,20230317-230000,39.15,60.85,,28.383,666.337,1.1637,0.01225,44.52,90.36,51.27,56.76,2688,1512
data\train\images\20230317-232000-C4k0193.jpg,train,20230317-232000-C4k0193.jpg,20230317-232000,36.69,63.31,,29.618,625.688,1.1614,0.01136,48.71,91.04,51.57,61.99,2688,1512
data\train\images\20230322-233000-C4k0193.jpg,train,20230322-233000-C4k0193.jpg,20230322-233000,36.82,63.18,,30.536,1206.304,1.108,0.01115,51.82,81.34,58.64,63.25,2688,1512
data\train\images\20230323-000000-C4k0193.jpg,train,20230323-000000-C4k0193.jpg,20230323-000000,37.99,62.01,,30.149,1273.043,1.115,0.01137,50.51,80.22,57.72,61.94,2688,1512
data\train\images\20230323-040000-C4k0193.jpg,train,20230323-040000-C4k0193.jpg,20230323-040000,42.85,57.15,,28.648,1683.464,1.1277,0.01211,45.42,73.36,56.04,57.61,2688,1512
data\train\images\20230323-050000-C4k0193.jpg,train,20230323-050000-C4k0193.jpg,20230323-050000,43.4,56.6,,28.215,1682.912,1.1284,0.01201,43.95,73.37,55.94,58.17,2688,1512
data\train\images\20230323-233000-C4k0193.jpg,train,20230323-233000-C4k0193.jpg,20230323-233000,39.09,60.91,,29.933,1312.072,1.1345,0.01153,49.78,79.57,55.13,61.03,2688,1512
data\train\images\20230324-013000-C4k0193.jpg,train,20230324-013000-C4k0193.jpg,20230324-013000,37.72,62.28,,30.005,1131.876,1.1259,0.01129,50.02,82.58,56.28,62.43,2688,1512
data\train\images\20230324-133000-C4k0193.jpg,train,20230324-133000-C4k0193.jpg,20230324-133000,42.62,57.38,,38.404,3747.315,1.01,0.02274,78.5,38.87,71.61,0.0,2688,1512
data\train\images\20230325-201000-C4k0193.jpg,train,20230325-201000-C4k0193.jpg,20230325-201000,32.77,67.23,,31.66,736.951,1.1151,0.01054,55.63,89.18,57.7,66.81,2688,1512
data\train\images\20230326-213000-C4k0193.jpg,train,20230326-213000-C4k0193.jpg,20230326-213000,41.75,58.25,,28.973,1498.667,1.1392,0.01203,46.52,76.45,54.51,58.08,2688,1512
data\train\images\20230326-230000-C4k0193.jpg,train,20230326-230000-C4k0193.jpg,20230326-230000,42.33,57.67,,28.813,1522.439,1.1441,0.01223,45.98,76.05,53.87,56.88,2688,1512
data\train\images\20230328-043000-C4k0193.jpg,train,20230328-043000-C4k0193.jpg,20230328-043000,35.56,64.44,,31.24,1021.254,1.125,0.01145,54.21,84.43,56.39,61.45,2688,1512
data\train\images\20230328-123000-C4k0193.jpg,train,20230328-123000-C4k0193.jpg,20230328-123000,18.65,81.35,,45.064,2340.014,0.9329,0.01124,100.0,62.39,81.82,62.71,2688,1512
data\train\images\20230328-200000-C4k0193.jpg,train,20230328-200000-C4k0193.jpg,20230328-200000,25.2,74.8,,34.52,1269.963,1.0,0.0,65.33,80.27,72.94,100.0,2688,1512
data\train\images\20230329-003000-C4k0193.jpg,train,20230329-003000-C4k0193.jpg,20230329-003000,28.1,71.9,,33.544,1585.077,1.0,0.0,62.02,75.01,72.94,100.0,2688,1512
data\train\images\20230329-150000-C4k0193.jpg,train,20230329-150000-C4k0193.jpg,20230329-150000,39.48,60.52,,33.176,3687.642,0.9135,0.00936,60.77,39.87,84.38,73.76,2688,1512
data\train\images\20230404-120000-C4k0193.jpg,train,20230404-120000-C4k0193.jpg,20230404-120000,36.2,63.8,,35.093,3589.451,0.9466,0.00756,67.27,41.51,80.0,84.35,2688,1512
data\train\images\20230404-230000-C4k0193.jpg,train,20230404-230000-C4k0193.jpg,20230404-230000,58.66,41.34,,18.233,1231.758,1.2766,0.01211,10.11,80.91,36.33,57.59,2688,1512
data\train\images\20230405-210000-C4k0193.jpg,train,20230405-210000-C4k0193.jpg,20230405-210000,56.46,43.54,,19.044,1019.926,1.2529,0.01311,12.86,84.45,39.47,51.69,2688,1512
data\train\images\20230405-220000-C4k0193.jpg,train,20230405-220000-C4k0193.jpg,20230405-220000,54.51,45.49,,19.494,847.778,1.2283,0.0134,14.38,87.33,42.72,49.98,2688,1512
data\train\images\20230413-043011-C4k0193.jpg,train,20230413-043011-C4k0193.jpg,20230413-043011,60.49,39.51,,19.861,1645.092,1.275,0.01552,15.63,74.0,36.55,37.51,2688,1512
data\train\images\20230418-143015-C4k0193.jpg,train,20230418-143015-C4k0193.jpg,20230418-143015,52.41,47.59,,27.31,4187.823,0.9001,0.01416,40.89,31.51,86.15,45.5,2688,1512
data\train\images\20230419-193015-C4k0193.jpg,train,20230419-193015-C4k0193.jpg,20230419-193015,78.3,21.7,,14.48,2623.249,1.5687,0.01442,0.0,57.66,0.0,44.02,2688,1512
data\train\images\20230421-223015-C4k0193.jpg,train,20230421-223015-C4k0193.jpg,20230421-223015,83.59,16.41,,13.421,3643.766,1.5781,0.0147,0.0,40.6,0.0,42.35,2688,1512
data\train\images\20230423-023015-C4k0193.jpg,train,20230423-023015-C4k0193.jpg,20230423-023015,68.97,31.03,,17.038,1848.386,1.4518,0.01375,6.06,70.61,13.14,47.92,2688,1512
